stage_key,stage_label,boundary_way_id,boundary_way_label,boundary_version,snapshot_timestamp,snapshot_timestamp_iso,boundary_area_sq_m,boundary_perimeter_m,element_type,osm_id,name,lat,lon,distance_to_boundary_centroid_m,building_tag,building_semantics,building_semantics_label,later_assignment,later_assignment_label,cde_category,tags_str,stage_rank
latest,Latest,942760673,Sayyid al-Shuhada-Asif barracks area,13,2026-03-07 22:56:51+00:00,2026-03-07T22:56:51+00:00,37585.397124782176,1044.8045436008556,way,1485178461,,27.109572,57.0835193,7.8,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,unknown,building=yes,1
latest,Latest,942760673,Sayyid al-Shuhada-Asif barracks area,13,2026-03-07 22:56:51+00:00,2026-03-07T22:56:51+00:00,37585.397124782176,1044.8045436008556,way,1485178457,,27.109425,57.083498,11.0,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,military_security,building=yes; military=barracks,2
latest,Latest,942760673,Sayyid al-Shuhada-Asif barracks area,13,2026-03-07 22:56:51+00:00,2026-03-07T22:56:51+00:00,37585.397124782176,1044.8045436008556,way,1485178456,,27.1095557,57.0837597,20.8,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,military_security,building=yes; military=barracks,3
latest,Latest,942760673,Sayyid al-Shuhada-Asif barracks area,13,2026-03-07 22:56:51+00:00,2026-03-07T22:56:51+00:00,37585.397124782176,1044.8045436008556,way,1485178448,,27.1093715,57.0839348,40.6,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,unknown,building=yes,4
latest,Latest,942760673,Sayyid al-Shuhada-Asif barracks area,13,2026-03-07 22:56:51+00:00,2026-03-07T22:56:51+00:00,37585.397124782176,1044.8045436008556,way,1485767424,,27.1092242,57.0838125,40.7,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,military_security,building=yes; military=barracks,5
latest,Latest,942760673,Sayyid al-Shuhada-Asif barracks area,13,2026-03-07 22:56:51+00:00,2026-03-07T22:56:51+00:00,37585.397124782176,1044.8045436008556,way,1485178458,,27.1091928,57.0833229,42.1,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,military_security,building=yes; military=barracks,6
latest,Latest,942760673,Sayyid al-Shuhada-Asif barracks area,13,2026-03-07 22:56:51+00:00,2026-03-07T22:56:51+00:00,37585.397124782176,1044.8045436008556,way,1485797314,,27.1099322,57.0835511,46.9,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,unknown,building=yes,7
latest,Latest,942760673,Sayyid al-Shuhada-Asif barracks area,13,2026-03-07 22:56:51+00:00,2026-03-07T22:56:51+00:00,37585.397124782176,1044.8045436008556,way,1485767428,,27.1090492,57.0836296,51.8,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,military_security,building=yes; military=barracks,8
latest,Latest,942760673,Sayyid al-Shuhada-Asif barracks area,13,2026-03-07 22:56:51+00:00,2026-03-07T22:56:51+00:00,37585.397124782176,1044.8045436008556,way,1485178459,,27.109114,57.0831374,60.4,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,unknown,building=yes,9
latest,Latest,942760673,Sayyid al-Shuhada-Asif barracks area,13,2026-03-07 22:56:51+00:00,2026-03-07T22:56:51+00:00,37585.397124782176,1044.8045436008556,way,1486287561,,27.1094366,57.0829389,61.6,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,unknown,building=yes,10
latest,Latest,942760673,Sayyid al-Shuhada-Asif barracks area,13,2026-03-07 22:56:51+00:00,2026-03-07T22:56:51+00:00,37585.397124782176,1044.8045436008556,way,1485768799,,27.1096518,57.0842286,68.5,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,unknown,building=yes,11
latest,Latest,942760673,Sayyid al-Shuhada-Asif barracks area,13,2026-03-07 22:56:51+00:00,2026-03-07T22:56:51+00:00,37585.397124782176,1044.8045436008556,way,1485178460,,27.1089871,57.0831875,68.6,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,unknown,building=yes,12
latest,Latest,942760673,Sayyid al-Shuhada-Asif barracks area,13,2026-03-07 22:56:51+00:00,2026-03-07T22:56:51+00:00,37585.397124782176,1044.8045436008556,way,1485767429,,27.1089081,57.0837922,70.9,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,military_security,building=yes; military=barracks,13
latest,Latest,942760673,Sayyid al-Shuhada-Asif barracks area,13,2026-03-07 22:56:51+00:00,2026-03-07T22:56:51+00:00,37585.397124782176,1044.8045436008556,way,1485178463,,27.1099321,57.0830024,72.1,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,military_security,building=yes; military=barracks,14
latest,Latest,942760673,Sayyid al-Shuhada-Asif barracks area,13,2026-03-07 22:56:51+00:00,2026-03-07T22:56:51+00:00,37585.397124782176,1044.8045436008556,way,1486287560,,27.1097738,57.0828263,77.9,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,military_security,building=yes; military=barracks,15
latest,Latest,942760673,Sayyid al-Shuhada-Asif barracks area,13,2026-03-07 22:56:51+00:00,2026-03-07T22:56:51+00:00,37585.397124782176,1044.8045436008556,way,1486287557,,27.1100164,57.0829116,85.0,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,military_security,building=yes; military=barracks,16
latest,Latest,942760673,Sayyid al-Shuhada-Asif barracks area,13,2026-03-07 22:56:51+00:00,2026-03-07T22:56:51+00:00,37585.397124782176,1044.8045436008556,way,1486287559,,27.1098562,57.0827399,89.4,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,military_security,building=yes; military=barracks,17
latest,Latest,942760673,Sayyid al-Shuhada-Asif barracks area,13,2026-03-07 22:56:51+00:00,2026-03-07T22:56:51+00:00,37585.397124782176,1044.8045436008556,way,1486287558,,27.1102461,57.0826809,119.1,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,military_security,building=yes; military=barracks,18
latest,Latest,942760673,Sayyid al-Shuhada-Asif barracks area,13,2026-03-07 22:56:51+00:00,2026-03-07T22:56:51+00:00,37585.397124782176,1044.8045436008556,way,1485178467,,27.1100864,57.0825071,122.0,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,military_security,building=yes; military=barracks,19
